UNIQUE_ID,DO_critical_count,stress_combo_count,flow_flag_count,avg_risk_score,avg_temp,avg_DO,latitude,longitude,total_samples,watershed,DO_critical_rate,stress_combo_rate,risk_rank
W2520,1,0,3,1.6666666666666667,18.933333333333334,4.633333333333334,42.347696,-71.5179405,3,Concord (SuAsCo),33.33333333333333,0.0,630
W2214,0,0,6,1.6666666666666667,19.3,8.516666666666667,42.06151141,-72.06454171,6,Quinebaug,0.0,0.0,631
W2213,0,0,6,1.6666666666666667,19.166666666666668,8.466666666666667,42.1427144,-71.86184525,6,French,0.0,0.0,632
W1540,0,0,9,1.6666666666666667,15.02222222222222,9.066666666666666,42.57421165,-70.92938807,9,North Coastal,0.0,0.0,633
W1541,0,0,9,1.6666666666666667,15.633333333333333,7.177777777777777,42.56745044,-70.94474512,9,North Coastal,0.0,0.0,634
W1542,0,0,9,1.6666666666666667,14.61111111111111,8.933333333333334,42.56289945,-70.81029863,9,North Coastal,0.0,0.0,635
W1546,0,0,9,1.6666666666666667,17.12222222222222,7.588888888888889,42.62587325,-70.79312269,9,North Coastal,0.0,0.0,636
W2518,0,0,3,1.6666666666666667,20.433333333333334,8.666666666666666,42.3900984,-71.1967182,3,Charles,0.0,0.0,637
W1036,0,0,9,1.6666666666666667,18.77777777777778,5.888888888888889,42.23246451,-72.0163834,9,Chicopee,0.0,0.0,638
W1499,1,0,9,1.6666666666666667,19.133333333333336,7.155555555555556,42.02160209,-70.9505329,9,Taunton,11.11111111111111,0.0,639
W2508,1,0,3,1.6666666666666667,18.033333333333335,4.966666666666667,42.2247791,-71.4776709,3,Concord (SuAsCo),33.33333333333333,0.0,640
W1562,0,0,6,1.6666666666666667,14.933333333333332,7.816666666666666,42.50972044,-73.23499529,6,Housatonic,0.0,0.0,641
W2461,0,0,3,1.6666666666666667,14.6,9.733333333333333,42.47653586,-72.51860357,3,Connecticut,0.0,0.0,642
W2458,0,0,3,1.6666666666666667,16.3,8.633333333333333,42.0373016,-72.69990551,3,Connecticut,0.0,0.0,643
W2457,0,0,3,1.6666666666666667,16.633333333333333,7.5,42.05933009,-72.27160475,3,Chicopee,0.0,0.0,644
W1585,0,0,9,1.6666666666666667,15.88888888888889,8.2,42.13103033,-71.5155242,9,Charles,0.0,0.0,645
W1952,0,0,6,1.6666666666666667,21.216666666666665,7.3500000000000005,42.14824516,-71.2533023,6,Neponset,0.0,0.0,646
W1587,1,0,9,1.6666666666666667,20.044444444444444,6.611111111111111,42.25505525,-71.33009248,9,Charles,11.11111111111111,0.0,647
W1504,1,0,9,1.6666666666666667,20.01111111111111,6.788888888888889,41.88611169,-71.02994049,9,Taunton,11.11111111111111,0.0,648
W1498,1,0,9,1.6666666666666667,18.88888888888889,7.155555555555556,42.03148922,-70.96656207,9,Taunton,11.11111111111111,0.0,649
W2412,0,0,3,1.6666666666666667,18.2,9.066666666666666,41.77444,-71.08528,3,Taunton,0.0,0.0,650
W1135,0,0,9,1.6666666666666667,19.933333333333334,7.633333333333334,42.11943443,-71.45344443,9,Charles,0.0,0.0,651
W2263,0,0,3,1.6666666666666667,15.9,9.566666666666668,42.6732761,-72.61264226,3,Deerfield,0.0,0.0,652
W2640,0,0,18,1.6666666666666667,22.6,7.838888888888889,42.245392,-71.91672999,18,French,0.0,0.0,653
W2638,2,0,15,1.6666666666666667,21.006666666666668,7.4,42.38136667,-73.16073334,15,Housatonic,13.333333333333334,0.0,654
W1142,0,0,9,1.6666666666666667,16.455555555555556,7.2333333333333325,42.09620732,-71.47958751,9,Charles,0.0,0.0,655
W0091,7,0,5,1.6666666666666667,18.833333333333332,5.05,42.53441868,-71.23357266,12,Shawsheen,58.333333333333336,0.0,656
W1139,1,0,9,1.6666666666666667,21.644444444444446,7.955555555555555,42.32584268,-71.25439259,9,Charles,11.11111111111111,0.0,657
W2634,0,0,9,1.6666666666666667,23.22222222222222,8.18888888888889,42.55110325,-72.94258179,9,Deerfield,0.0,0.0,658
W2632,3,0,11,1.6666666666666667,23.98,6.906666666666666,42.68633588,-73.09319174,15,Hoosic,20.0,0.0,659
W1387,1,0,5,1.6666666666666667,19.833333333333332,6.466666666666666,41.7342588,-70.77498583,6,Buzzards Bay,16.666666666666664,0.0,660
W2220,0,0,12,1.6666666666666667,17.683333333333334,8.933333333333334,42.03481475,-72.16158627,12,Quinebaug,0.0,0.0,661
W1389,0,0,3,1.6666666666666667,21.0,6.7,41.68878515,-70.7716652,3,Buzzards Bay,0.0,0.0,662
W2805,0,0,18,1.6666666666666667,23.450000000000003,8.327777777777778,41.6671004,-70.4441491,18,Cape Cod,0.0,0.0,663
W1395,0,0,3,1.6666666666666667,18.633333333333333,9.633333333333333,41.98731263,-72.60535567,3,Connecticut,0.0,0.0,664
W1107,0,0,6,1.6666666666666667,19.983333333333334,8.383333333333333,42.43543023,-73.2495137,6,Housatonic,0.0,0.0,665
W2255,0,0,3,1.6666666666666667,22.0,9.1,42.73205357,-72.71945734,3,Deerfield,0.0,0.0,666
W2248,0,0,3,1.6666666666666667,20.433333333333334,8.633333333333333,42.59824776,-72.61591962,3,Deerfield,0.0,0.0,667
W2244,0,0,3,1.6666666666666667,21.46666666666667,9.0,42.67416852,-72.73352769,3,Deerfield,0.0,0.0,668
W0175,1,0,9,1.6666666666666667,18.866666666666667,7.155555555555556,41.89609284,-71.32576502,9,Ten Mile,11.11111111111111,0.0,669
W1588,0,0,9,1.6666666666666667,18.11111111111111,8.644444444444444,42.09047755,-71.43283604,9,Charles,0.0,0.0,670
W2206,0,0,6,1.6666666666666667,17.983333333333334,7.75,42.13693403,-72.10313327,6,Quinebaug,0.0,0.0,671
W2184,0,0,6,1.6666666666666667,20.433333333333334,8.333333333333334,42.04216137,-72.09714696,6,Quinebaug,0.0,0.0,672
W1880,0,0,3,1.6666666666666667,16.366666666666664,9.200000000000001,42.04351371,-72.45647808,3,Connecticut,0.0,0.0,673
W2388,0,0,3,1.6666666666666667,21.400000000000002,7.866666666666667,41.67967123,-70.84082513,3,Buzzards Bay,0.0,0.0,674
W1883,0,0,3,1.6666666666666667,18.633333333333333,9.0,42.50677372,-72.5270761,3,Connecticut,0.0,0.0,675
W1900,0,0,3,1.6666666666666667,15.699999999999998,7.233333333333333,42.25040334,-72.42653878,3,Chicopee,0.0,0.0,676
W2181,0,0,6,1.6666666666666667,22.2,7.3500000000000005,42.20291112,-71.85617251,6,Blackstone,0.0,0.0,677
W2886,0,0,3,1.6666666666666667,17.3,9.066666666666668,42.44662969,-71.8181233,3,Nashua,0.0,0.0,678
W2887,0,0,3,1.6666666666666667,16.733333333333334,7.733333333333333,42.61760369,-71.72624143,3,Nashua,0.0,0.0,679
W2187,0,0,6,1.6666666666666667,23.133333333333336,7.233333333333333,42.10454751,-71.92879763,6,French,0.0,0.0,680
W2189,0,0,6,1.6666666666666667,19.75,9.0,42.07674201,-72.02541007,6,Quinebaug,0.0,0.0,681
W2191,0,0,6,1.6666666666666667,17.416666666666668,9.200000000000001,42.05772637,-72.18751776,6,Quinebaug,0.0,0.0,682
W1828,0,0,3,1.6666666666666667,15.300000000000002,9.433333333333332,42.40886407,-71.98179294,3,Chicopee,0.0,0.0,683
W2888,0,0,3,1.6666666666666667,16.666666666666668,8.566666666666666,42.70288914,-71.75177322,3,Nashua,0.0,0.0,684
W2392,0,0,3,1.6666666666666667,23.03333333333333,7.466666666666666,41.70289295,-70.10477526,3,Cape Cod,0.0,0.0,685
W0423,0,0,6,1.6666666666666667,21.05,7.1000000000000005,42.18829134,-71.36280624,6,Charles,0.0,0.0,686
W1937,0,0,6,1.6666666666666667,14.65,8.683333333333334,42.20894589,-71.26694884,6,Neponset,0.0,0.0,687
W2889,0,0,3,1.6666666666666667,18.633333333333333,6.533333333333334,42.62248944,-71.02018566,3,Ipswich,0.0,0.0,688
W2201,0,0,6,1.6666666666666667,20.666666666666668,8.266666666666667,42.16426655,-71.9488559,6,French,0.0,0.0,689
W1717,0,0,3,1.6666666666666667,18.933333333333334,8.299999999999999,42.34007232,-72.15953425,3,Chicopee,0.0,0.0,690
W1754,0,0,3,1.6666666666666667,21.400000000000002,8.799999999999999,42.21273236,-72.22875627,3,Chicopee,0.0,0.0,691
W2406,0,0,2,1.6666666666666667,21.266666666666666,7.366666666666667,42.0754278,-71.00963849,3,Taunton,0.0,0.0,692
W1949,0,0,6,1.6666666666666667,21.266666666666666,7.3500000000000005,42.25062143,-71.12953409,6,Neponset,0.0,0.0,693
W2890,0,0,3,1.6666666666666667,19.7,7.6000000000000005,42.66074776,-70.90371136,3,Ipswich,0.0,0.0,694
W1938,0,0,6,1.6666666666666667,16.683333333333334,8.183333333333334,42.19362053,-71.27966147,6,Neponset,0.0,0.0,695
W1877,0,0,4,1.6666666666666667,19.883333333333333,7.716666666666666,42.42038826,-72.04817823,6,Chicopee,0.0,0.0,696
W1767,0,0,9,1.6666666666666667,17.966666666666665,8.822222222222223,42.18277682,-71.76604587,9,Blackstone,0.0,0.0,697
W1778,0,0,3,1.6666666666666667,14.033333333333333,10.366666666666667,42.62272904,-72.54970791,3,Connecticut,0.0,0.0,698
W0918,0,0,3,1.6666666666666667,19.133333333333333,7.766666666666666,42.16028331,-70.78863391,3,South Coastal,0.0,0.0,699
W2397,0,0,3,1.6666666666666667,22.666666666666668,7.466666666666666,41.72740826,-70.85635593,3,Buzzards Bay,0.0,0.0,700
W1942,0,0,6,1.6666666666666667,15.983333333333333,9.15,42.18650673,-71.22345227,6,Neponset,0.0,0.0,701
W1794,0,0,12,1.6666666666666667,20.383333333333333,8.15,42.03629979,-72.58362237,12,Connecticut,0.0,0.0,702
W2621,1,0,17,1.6470588235294117,22.75294117647059,7.4411764705882355,42.25157365,-73.06217159,17,Westfield,5.88235294117647,0.0,703
W2796,0,0,22,1.6363636363636365,23.05909090909091,8.527272727272727,41.852937,-70.614673,22,Buzzards Bay,0.0,0.0,704
W2636,0,0,5,1.625,24.0875,7.175,42.54862493,-71.97261742,8,Millers,0.0,0.0,705
W0453,0,0,8,1.625,18.4125,8.875,42.52452276,-70.9185959,8,North Coastal,0.0,0.0,706
W0168,0,0,8,1.625,18.2375,8.8,42.01272012,-71.34763073,8,Ten Mile,0.0,0.0,707
W1595,0,0,8,1.625,18.4625,7.9625,41.95661339,-71.30844976,8,Ten Mile,0.0,0.0,708
W0883,0,0,8,1.625,16.75,8.35,42.47228295,-71.00682261,8,North Coastal,0.0,0.0,709
W1545,0,0,8,1.625,16.2875,7.875,42.49547353,-71.02759475,8,North Coastal,0.0,0.0,710
W0901,0,0,8,1.625,20.6375,7.325,41.95002381,-71.29133543,8,Ten Mile,0.0,0.0,711
W0436,0,0,8,1.625,16.025,8.4375,42.51244839,-71.02729939,8,North Coastal,0.0,0.0,712
W1583,0,0,8,1.625,19.2125,7.675,42.15140376,-71.42713966,8,Charles,0.0,0.0,713
W0409,0,0,10,1.6,17.27,8.6,42.28652324,-71.29384261,10,Charles,0.0,0.0,714
W0406,0,0,10,1.6,20.1,8.03,42.24980728,-71.22270212,10,Charles,0.0,0.0,715
W0377,0,0,5,1.6,16.52,9.64,42.11316821,-73.26853192,5,Housatonic,0.0,0.0,716
W0375,0,0,5,1.6,16.06,9.92,42.07601465,-73.28282617,5,Housatonic,0.0,0.0,717
W0339,0,0,5,1.6,20.46,9.379999999999999,41.91774475,-70.6264616,5,South Coastal,0.0,0.0,718
W0338,0,0,5,1.6,15.16,9.68,41.91104346,-70.64385015,5,South Coastal,0.0,0.0,719
W0333,0,0,5,1.6,20.44,8.36,41.92602695,-70.61353249,5,South Coastal,0.0,0.0,720
W0221,0,0,5,1.6,17.56,10.440000000000001,42.22568842,-72.87073188,5,Westfield,0.0,0.0,721
W0257,0,0,5,1.6,13.74,10.26,42.33094293,-73.09171257,5,Westfield,0.0,0.0,722
W1292,3,0,5,1.6,19.72,4.08,42.30498564,-72.83260247,5,Westfield,60.0,0.0,723
W0474,0,0,5,1.6,17.240000000000002,10.02,42.09002807,-72.62686454,5,Westfield,0.0,0.0,724
W1473,0,0,5,1.6,17.740000000000002,8.620000000000001,42.3465007,-71.61460331,5,Concord (SuAsCo),0.0,0.0,725
W1475,0,0,5,1.6,18.18,7.7,42.39979789,-71.54598569,5,Concord (SuAsCo),0.0,0.0,726
W1476,0,0,5,1.6,18.66,8.459999999999999,42.40462155,-71.52654108,5,Concord (SuAsCo),0.0,0.0,727
W1477,0,0,5,1.6,18.8,6.94,42.41163442,-71.50844219,5,Concord (SuAsCo),0.0,0.0,728
W1479,0,0,5,1.6,19.740000000000002,8.620000000000001,42.44086923,-71.42935628,5,Concord (SuAsCo),0.0,0.0,729
W1480,0,0,5,1.6,18.94,8.08,42.3386459,-71.39498427,5,Concord (SuAsCo),0.0,0.0,730
