UNIQUE_ID,Latitude,Longitude,TEMP,DO,flow_flag,risk_score,season,year,month,is_summer,DO_critical,stress_combo
W1061,42.36655405,-72.60488814,21.0,5.9,1,1,Fall,2019.0,9.0,0,0,0
W1796,42.31899322,-72.66514075,20.0,9.9,1,1,Fall,2019.0,9.0,0,0,0
W2845,42.37683842,-72.49492563,16.2,8.9,1,1,Fall,2019.0,9.0,0,0,0
W2846,42.41550849,-72.51258326,16.4,9.6,1,1,Fall,2019.0,9.0,0,0,0
W2854,42.41118008,-72.5674643,16.1,8.1,1,1,Fall,2019.0,9.0,0,0,0
W1050,42.38639934,-72.5503928,17.9,8.2,1,1,Fall,2019.0,9.0,0,0,0
W2847,42.38339502,-72.5850062,20.7,8.7,1,1,Fall,2019.0,9.0,0,0,0
W1051,42.33278638,-72.57858317,18.8,9.3,1,1,Fall,2019.0,9.0,0,0,0
W2848,42.28071001,-72.4252915,14.1,9.6,1,1,Fall,2019.0,9.0,0,0,0
W1055,42.28189876,-72.42726497,16.4,9.4,1,1,Fall,2019.0,9.0,0,0,0
W2849,42.27820079,-72.57541581,16.8,9.8,1,1,Fall,2019.0,9.0,0,0,0
W2850,42.28230014,-72.58708557,13.4,10.7,1,1,Fall,2019.0,9.0,0,0,0
W1065,42.28349688,-72.64060074,15.8,7.9,1,1,Fall,2019.0,9.0,0,0,0
W2851,42.27748219,-72.65403879,18.6,7.8,1,1,Fall,2019.0,9.0,0,0,0
W1792,42.24704007,-72.58037808,17.1,8.7,1,1,Fall,2019.0,9.0,0,0,0
W2852,42.21396566,-72.59514866,14.2,10.0,1,1,Fall,2019.0,9.0,0,0,0
W2855,42.19157879,-72.59779736,13.2,10.3,1,1,Fall,2019.0,9.0,0,0,0
W1786,42.0941279,-72.56911519,19.1,8.0,1,1,Fall,2019.0,9.0,0,0,0
W2853,42.07465812,-72.58070026,19.3,9.0,1,1,Fall,2019.0,9.0,0,0,0
W1794,42.03629979,-72.58362237,16.7,9.7,1,1,Fall,2019.0,9.0,0,0,0
W0816,41.81989559,-71.02717559,18.1,0.7,1,3,Summer,2019.0,6.0,1,1,0
W2838,41.83523239,-71.13593516,17.9,8.3,1,2,Summer,2019.0,6.0,1,0,0
W1508,41.88590512,-71.13411655,20.0,7.8,1,2,Summer,2019.0,6.0,1,0,0
W2372,41.90037801,-71.09399859,20.2,8.3,1,2,Summer,2019.0,6.0,1,0,0
W0821,41.93332037,-71.15426672,20.2,7.2,1,2,Summer,2019.0,6.0,1,0,0
W2835,41.946818,-71.16067131,20.6,7.6,1,2,Summer,2019.0,6.0,1,0,0
W0858,41.9471012,-71.1769499,20.3,8.1,1,2,Summer,2019.0,6.0,1,0,0
W2894,41.94672655,-71.20083966,20.9,8.3,1,2,Summer,2019.0,6.0,1,0,0
W1504,41.88611169,-71.02994049,19.1,6.4,1,2,Summer,2019.0,6.0,1,0,0
W0317,41.9074391,-70.91495236,18.6,7.1,1,2,Summer,2019.0,6.0,1,0,0
W0318,41.92174924,-70.92351752,18.5,5.6,1,2,Summer,2019.0,6.0,1,0,0
W1503,41.93629311,-70.98734776,19.2,5.8,1,2,Summer,2019.0,6.0,1,0,0
W2836,41.94881614,-70.96826996,14.5,8.8,1,2,Summer,2019.0,6.0,1,0,0
W2833,41.98177507,-71.16118832,15.8,7.4,1,2,Summer,2019.0,6.0,1,0,0
W2402,42.00502696,-71.21344675,18.3,7.7,1,2,Summer,2019.0,6.0,1,0,0
